claimType,coverage,country,deviceType,make,model,rrp,excessFee,channel,policyStatus,issueDesc,decline_reason,status,turnOnOff,touchScreen,frontCamera,backCamera,audio,mic,synthetic_id,scenario_type,borderline_factors,edge_case_type,expected_outcome
Accidental Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-SYN-0,8999,150,Online Portal,Active,"I dropped my WUAWEI smartphone last week and now the screen doesn't work properly. The device was working fine before but now there are some issues. The screen has some cracks and the touch isn't responding in certain areas. I think it happened when I accidentally knocked it off my desk, but I'm not entirely sure when exactly it occurred. The phone still turns on but the display is damaged. I need it repaired as soon as possible because I use it for work. The corners of the phone also seem slightly bent but that might have been from before.","Pre-existing damage claimed as new. Claimant mentions bent corners 'might have been from before' and vague timeline ('last week', 'not entirely sure when exactly'). Multiple damage points (screen cracks, bent corners, touch issues) inconsistent with single drop incident. Suggests progressive damage or pre-existing condition rather than sudden accident. Lack of specific details and contradictory statements indicate potential wear and tear misrepresented as accidental damage.",Declined,True,False,True,True,True,True,SYN-DEC-0000,declined,,,
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-9,899,150,Online Portal,Active,"I dropped my WUAWEI-SYN-9 last week and now the screen has cracks all over it. The phone still works but the display is completely shattered. I've been using it for about 18 months without any problems before this happened. The device fell from my pocket while I was walking. I need it repaired as soon as possible since I use it for work. The back of the phone also seems to have some minor damage, but the main issue is the screen. I'm not sure exactly how far it fell but it wasn't from very high up. The screen just suddenly started showing these spider-web cracks everywhere.","Pre-existing damage claimed as new. Photos reveal hairline cracks and screen separation patterns consistent with progressive deterioration over months, not acute drop damage. Damage pattern inconsistent with single drop incident—corner impact damage absent, but stress fractures present throughout. Device age (18 months) combined with vague drop description and photo evidence suggest wear and tear rather than sudden accident.",Declined,True,False,True,True,True,True,SYN-DEC-0009,declined,,,
Accidental Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-P50-Pro,8999,250,Online Portal,Active,Jag råkade tappa min telefon från min buskehylla hemma och den landade på golvet. Skärmen började omedelbar visa konstiga linjer och färgöverföringar. Telefonen fungerar fortfarande tekniskt sett men displayen är väldigt påverkad. Jag har använt den dagligen i ungefär två år och har alltid varit försiktig med den. Det är helt plötsligt att det här hände. Kan inte använda den längre pga displayskador.,"Gradual wear and tear. Device has been in use for approximately 2 years with display degradation patterns consistent with age-related deterioration rather than sudden impact damage. The vague description of 'fall from shelf' combined with multiple display symptoms (lines and color distortion) suggests pre-existing screen degradation being claimed as accidental damage. Technical functionality combined with selective display issues indicates progressive failure, not acute accident.",Declined,True,True,True,True,True,True,SYN-DEC-0001,declined,,,
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-8,8500,150,Online Portal,Active,"Mijn WUAWEI smartphone scherm is helaas kapot gegaan. Ik heb het toestel nu al ongeveer twee jaar en gebruik het dagelijks voor werk. Het scherm is in de afgelopen maanden steeds slechter geworden met kleine barsten die zich hebben uitgebreid. Gisteren werd het ineens veel erger en nu kan ik het apparaat niet meer goed gebruiken. Het kan zijn dat ik het heb laten vallen, maar ik ben niet helemaal zeker wanneer dit precies is gebeurd. Mogelijk was het een paar weken geleden of vorige maand. Het scherm toont nu veel donkere vlekken en de touch werkt niet overal meer. Ik wil graag een claim indienen voor het vervangen van het scherm.","Claim declined due to gradual wear and tear combined with pre-existing damage. The description indicates progressive screen deterioration over months with small cracks gradually expanding, which is characteristic of gradual wear rather than sudden accidental damage. The claimant's inability to specify when the alleged incident occurred, combined with the pattern of progressive failure, suggests the damage is not covered under accidental damage protection. The device's 2-year age and daily heavy use further support wear and tear classification rather than a sudden accident.",Declined,True,False,True,True,True,True,SYN-DEC-0008,declined,,,
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-5,1299,150,Online Portal,Active,Mijn WUAWEI-SYN-5 smartphone heeft ernstige schade aan het scherm opgelopen. Het display vertoont veel barsten en het glas is gebroken op meerdere plekken. Dit gebeurde toen ik de telefoon uit mijn zak liet vallen. Het toestel werkt nog maar het scherm is erg beschadigd. Ik heb de telefoon al een paar maanden en sinds die tijd heb ik gemerkt dat het scherm soms flikkert en de helderheid neemt geleidelijk af. Nu is het helemaal kapot. Dit is heel frustrerend want ik gebruik de telefoon dagelijks en kan hem niet meer goed gebruiken. Graag wil ik dat de claim wordt goedgekeurd zodat ik het scherm kan laten repareren of vervangen.,"Claim declined due to pre-existing damage and gradual deterioration inconsistent with single impact incident. Claimant mentions progressive flickering and diminishing brightness over months prior to claiming sudden drop damage, indicating wear and tear rather than acute accidental damage.",Declined,True,False,True,True,True,True,SYN-DEC-0005,declined,,,
Accidental Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-SYN-7,8999,150,Online Portal,Active,"Skärmens display har spruckit och enheten fungerar inte längre korrekt. Jag råkade tappa telefonen från min skrivbord en gång för några veckor sedan, men det var bara ett litet fall och inget synligt skadades då. Nu när jag kollade på den igång så märkte jag att det finns ett större sprickmönster över skärmen. Också märkte jag att högtalaren låter konstigt och mikrofonen verkar inte fungera helt rätt. Jag vet inte exakt när detta hände men det måste varit från fallen. Kan ni fixa detta eller ersätta enheten?","Claim appears to involve pre-existing or gradual damage. Claimant describes a minor drop weeks ago with no visible damage at the time, but now reports multiple failures (screen, speaker, microphone) appearing simultaneously. This pattern is inconsistent with a single impact incident and suggests either pre-existing damage, manufacturing defect, or gradual wear being misrepresented as sudden accidental damage. The vague timeline and lack of specific details about when damage was actually discovered further support decline.",Declined,True,False,True,True,False,False,SYN-DEC-0007,declined,,,
Accidental Damage,ADLD,SE,SMARTPHONES,WUAWEI,WUAWEI-SYN-4,8999,250,Online Portal,Active,"Jag hade min telefon i fickan när jag satte mig ner och hörde ett knäppande ljud. Senare märkte jag att displayen hade små sprickor vid ena hörnet. Telefonens prestanda har varit långsam de senaste veckorna och batteriet håller inte lika länge som förut. Skärmen är inte helt bruten men det finns flera små sprickor som spridits över tiden. Jag är inte säker på exakt när det började hända, det kan ha varit för två-tre veckor sedan. Telefonen har använts dagligen och kanske droppats några gånger tidigare, men ingenting större. Nu fungerar den fortfarande men är väldigt långsam och reagerar inte alltid på beröring.","Gradual wear and tear combined with pre-existing damage. The claimant describes progressive screen deterioration over 2-3 weeks, multiple small cracks spreading over time, battery degradation, and reduced performance—all indicators of cumulative damage rather than a single incident. The vague timeline, multiple drops mentioned without detail, and description of ongoing performance issues suggest pre-existing defects or normal wear rather than a specific accidental damage event covered by the policy.",Declined,True,False,True,True,True,True,SYN-DEC-0004,declined,,,
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-2,899,150,Online Portal,Active,"Mijn WUAWEI-SYN-2 valt niet meer aan. Het scherm toont geen beeld en de telefoon reageert niet op knoppen. Ik heb het apparaat gisteren laten vallen van ongeveer 1 meter hoogte op een houten vloer. De voorkant van het toestel ziet er normaal uit, zonder duidelijke scheuren. Het gebeurde heel snel, dus ik ben niet zeker wat precies kapot is gegaan. De batterij werkt waarschijnlijk nog, want ik voelde het warm worden na de val. Dit moet dekking vallen onder accidentele schade. Het toestel werkte perfect tot het moment van de val.","Pre-existing damage claim as new. Upon inspection, the device exhibits multiple indicators of gradual wear and tear unrelated to the described single-meter drop: deteriorated charging port connections, oxidized internal components suggesting prolonged moisture exposure, and worn battery contacts inconsistent with acute impact damage. The vague description ('niet zeker wat precies kapot is') combined with claims of 'perfect working condition' before an event that should not cause the described symptoms raises suspicion of misrepresentation. Manufacturing defect likely given the nature of failure pattern.",Declined,False,False,True,True,False,False,SYN-DEC-0002,declined,,,
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-3,899,150,Online Portal,Active,"I noticed my phone screen had some cracks and the display is not working properly anymore. The device fell from my pocket while I was walking, but I'm not entirely sure exactly when this happened - could have been a few weeks ago or maybe last month. The screen seems to have multiple cracks spreading across it, and there's also some discoloration at the edges. I didn't notice it right away because I usually use a protective case. When I finally checked without the case, the damage was already there. The phone still turns on but the touch sensitivity is very poor. I would like to claim for screen replacement and any other damage that might be present. I don't have photos from immediately after the incident because I only realized the extent of the damage today.","Claim declined due to gradual wear and tear inconsistent with a single accidental impact. Multiple indicators suggest pre-existing damage: unclear timeline of incident (weeks or months), delayed discovery of damage, pattern of cracks and discoloration suggesting progressive deterioration rather than impact damage, and lack of contemporaneous evidence. The vague description and inability to pinpoint incident time raises concerns about causation.",Declined,True,False,True,True,True,True,SYN-DEC-0003,declined,,,
Accidental Damage,ADLD,NL,SMARTPHONES,WUAWEI,WUAWEI-SYN-11,8500,150,Online Portal,Active,"Mijn WUAWEI smartphone is beschadigd geraakt. Het scherm heeft enkele kleine barsten en de hoeken voelen ruw. De camera werkt niet goed meer en het geluid is soms zwak. Dit gebeurde vorige week tijdens normaal gebruik. Het apparaat valt regelmatig uit mijn zak, dus het kan daar vandaan komen. De batterij gaat ook sneller leeg dan normaal. Ik wil het graag vervangen omdat het niet meer goed werkt.","Pre-existing damage claimed as new incident. Multiple deterioration signs (rough edges, weak audio, poor battery) indicate gradual wear and tear over extended period, not sudden accidental impact. Vague incident description lacking specific details (time, location, nature of fall), combined with non-specific damage pattern, suggests damage predates claim filing.",Declined,True,True,False,False,False,True,SYN-DEC-0011,declined,,,
