damage_type,damage_severity,incident_clarity,incident_type,user_at_fault,is_gradual_wear,has_police_report,emotional_tone,device_functional,third_party_involved,row_idx
theft,severe,moderate,theft,False,False,False,distressed,False,True,0
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,True,1
theft,severe,detailed,theft,False,False,True,distressed,False,True,2
camera_damage,minor,vague,unknown_cause,False,False,not_applicable,frustrated,partial,False,3
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,4
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,5
screen_crack,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,6
screen_crack,moderate,vague,impact,True,False,not_applicable,matter_of_fact,partial,False,7
screen_crack,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,8
cosmetic_scratch,minor,detailed,impact,False,False,not_applicable,frustrated,True,True,9
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,10
multiple_damage,severe,detailed,drop,True,False,not_applicable,matter_of_fact,False,False,11
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,12
screen_crack,minor,detailed,drop,True,False,False,matter_of_fact,partial,True,13
multiple_damage,severe,moderate,crush,True,False,not_applicable,matter_of_fact,False,False,14
screen_crack,moderate,moderate,drop,True,False,False,matter_of_fact,partial,False,15
screen_crack,minor,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,16
screen_crack,severe,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,17
screen_crack,moderate,vague,drop,True,False,not_applicable,matter_of_fact,partial,False,18
screen_crack,moderate,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,19
other,moderate,vague,crush,True,False,not_applicable,neutral,False,True,20
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,21
multiple_damage,severe,moderate,drop,True,False,not_applicable,matter_of_fact,partial,False,22
screen_crack,moderate,detailed,drop,True,False,not_applicable,matter_of_fact,partial,False,23
